BirthAtt	BritCol	FH	FemIR_adult	FemIR_youth	GDP	GDPcap	GDPcur	GDPgrowth	GDPppp	GDPpwt	GINI	HDI	IMRus	IMRwdi	LatinAm	Polity	SOVgdpcap	U5MRwdi	_merge	agrEXval	asia	auto_polity	autocracy_mod	autocracy_new	birth	cathol	civil	commie	cty_name	debt	democracy	density	doctors	durable	edgov_undp	edspend_undp	eeur	enroll_undp	exports	fertility	fmr_sov	girls_boys	govrev	healthPRI	healthPUB	healthTOT	hunger_undp	id	id1	illiteracy	infmort_undp	infmort_unicef	islam	kidmort_undp	kidmort_unicef	kidmort_who	life	life_undp	logCMRunicef	logCMRwdi	logCMRwho	logIMRunicef	logIMRus	logIMRwdi	logilliteracy	malnutrition	me_nafr	mideast	newspapers	oecd	polrights	population	poverty	povline	rgdpch	ssafrica	trade	urban	year
	0.0						1006666688	2.1							0.0				3		0.0		1	1	52.96	0.0		0.0	"Afghanistan"		0.0						0.0	101			0.0							"AFG"	1			230	99.3		340.0		36.82		5.8289456			5.4380794					0.0	0.0		0.0		11115000				0.0	32.67		1965
	0.0						1400000000	1.09							0.0				3	4.25698509E9	0.0		1	1		0.0		0.0	"Afghanistan"		0.0						0.0	101	82316304		0.0							"AFG"	1				99.3														0.0	0.0		0.0		11365470				0.0	27.14		1966
	0.0						1673333376	2.87							0.0				3	3.95970918E9	0.0		1	1	53.2	0.0		0.0	"Afghanistan"		0.0						0.0	101	85420096		0.0							"AFG"	1				99.3				37.8										0.0	0.0		0.0		11625010				0.0	20.98		1967
	0.0						1373333376	3.49							0.0				3	2.735712E9	0.0		1	1		0.0		0.0	"Afghanistan"		0.0						0.0	101	71818400		0.0							"AFG"	1				99.3														0.0	0.0		0.0		11893450				0.0	24.11		1968
	0.0						1408888832	1.57							0.0				3	3.14819302E9	0.0		1	1		0.0		0.0	"Afghanistan"		0.0						0.0	101	82736600		0.0							"AFG"	1				99.3														0.0	0.0		0.0		12170730				0.0	25.08		1969
	0.0						1748886656	1.99						198	0.0	-7.0	4088	320	3	3.03033344E9	0.0	7	1	1	52.24	0.0		0.0	"Afghanistan"		0.0	19.103191	0.06486313	6			0.0	101	84589504	7.136	0.0	16.163038						"AFG"	1			215	99.3		320.0	321	38.4		5.768321	5.768321	5.771441	5.370638		5.288267			0.0	0.0	8.107891	0.0		12457000				0.0	21.73	11.0	1970
	0.0						1831108864	-4.77							0.0	-7.0	4281		3	4.5610291E9	0.0	7	1	1		0.0		0.0	"Afghanistan"		0.0	19.49918		7			0.0	101	99899200		0.0							"AFG"	1				99.3														0.0	0.0		0.0		12715220				0.0	27.06	11.46	1971
	0.0	4.5					1595555584	-1.82							0.0	-7.0	4429		3	4.22577459E9	0.0	7	1	1	51.6	0.0	5	0.0	"Afghanistan"		0.0	19.935423		8			0.0	101	124514800	7.14	0.0							"AFG"	1				99.3				38.8										0.0	0.0		0.0	4	12999690				0.0	32.87	11.92	1972
	0.0	6.5					1733333376	11.37							0.0	-7.0	4773		3	4.27643699E9	0.0	7	1	1		0.0	6	0.0	"Afghanistan"		0.0	20.419207		9			0.0	101	159016400		0.0							"AFG"	1				99.3														0.0	0.0		0.0	7	13315160				0.0	27.69	12.38	1973
	0.0	6.5					2155555584	7.71							0.0	-7.0	4990		3	7.2567235E9	0.0	7	1	1		0.0	6	0.0	"Afghanistan"		0.0	20.951616		10			0.0	101	230549904		0.0							"AFG"	1				99.3														0.0	0.0		0.0	7	13662340				0.0	28.87	12.84	1974
	0.0	6.5					2366666752	3.0							0.0	-7.0	5194		3	7.5212493E9	0.0	7	1	1	51.12	0.0	6	0.0	"Afghanistan"		0.0	21.527702		11			0.0	101	223363904	7.182	0.0	16.800463						"AFG"	1			200	99.3		300.0	308	39.4		5.7037826		5.7300997	5.2983174					0.0	0.0	5.6988177	0.0	7	14038000				0.0	26.95	13.3	1975
