GDPgrowth_1	IDdum1	IDdum2	IDdum3	IDdum4	IDdum5	IDdum6	IDdum7	IDdum8	IDdum9	IDdum10	IDdum11	IDdum12	IDdum13	IDdum14	IDdum15	IDdum16	IDdum17	IDdum18	IDdum19	IDdum20	IDdum21	IDdum22	IDdum23	IDdum24	IDdum25	IDdum26	IDdum27	IDdum28	IDdum29	IDdum30	IDdum31	IDdum32	IDdum33	IDdum34	IDdum35	IDdum36	IDdum37	IDdum38	IDdum39	IDdum40	IDdum41	IDdum42	IDdum43	IDdum44	IDdum45	IDdum46	IDdum47	IDdum48	IDdum49	IDdum50	IDdum51	IDdum52	IDdum53	IDdum54	IDdum55	IDdum56	IDdum57	IDdum58	IDdum59	IDdum60	IDdum61	IDdum62	IDdum63	IDdum64	IDdum65	IDdum66	IDdum67	IDdum68	IDdum69	IDdum70	IDdum71	IDdum72	IDdum73	IDdum74	IDdum75	IDdum76	IDdum77	IDdum78	IDdum79	IDdum80	IDdum81	IDdum82	IDdum83	IDdum84	IDdum85	IDdum86	IDdum87	IDdum88	IDdum89	IDdum90	IDdum91	IDdum92	IDdum93	IDdum94	IDdum95	IDdum96	IDdum97	IDdum98	IDdum99	IDdum100	IDdum101	IDdum102	IDdum103	IDdum104	IDdum105	IDdum106	IDdum107	IDdum108	IDdum109	IDdum110	IDdum111	IDdum112	IDdum113	IDdum114	IDdum115	IDdum116	IDdum117	IDdum118	IDdum119	IDdum120	IDdum121	IDdum122	IDdum123	IDdum124	IDdum125	IDdum126	IDdum127	IDdum128	IDdum129	IDdum130	IDdum131	IDdum132	IDdum133	IDdum134	IDdum135	IDdum136	IDdum137	IDdum138	IDdum139	IDdum140	IDdum141	IDdum142	IDdum143	IDdum144	IDdum145	IDdum146	IDdum147	IDdum148	IDdum149	IDdum150	IDdum151	IDdum152	IDdum153	IDdum154	IDdum155	IDdum156	IDdum157	IDdum158	IDdum159	IDdum160	IDdum161	IDdum162	IDdum163	IDdum164	IDdum165	IDdum166	IDdum167	IDdum168	IDdum169	Polity_1	country	dperiod1	dperiod2	dperiod3	dperiod4	dperiod5	dperiod6	dperiod7	id	logCMRwdi	logCMRwdi_1	logDEMYRS_1	logDen_1	logGDPcap_1	logHIV_1	logIMRunicef_1	logIMRwdi_1	period	smallstate	transition_1	logCMRunicef	logCMRwho	logIMRunicef	logIMRwdi	_merge
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.0	142	1.0	0.0	0.0	0.0	0.0	0.0	0.0	"AFG"	5.768321	5.768321							1	0.0	0.0	5.768321	5.771441	5.370638	5.288267	3
2.896	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.0	142	0.0	1.0	0.0	0.0	0.0	0.0	0.0	"AFG"		5.768321	0.0	2.9942834		0.0	5.370638	5.288267	2	0.0	0.0	5.7037826	5.7300997	5.2983174		3
3.204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.6	142	0.0	0.0	1.0	0.0	0.0	0.0	0.0	"AFG"	5.6347895		0.0	3.1282315		0.0	5.2983174		3	0.0	0.0	5.6347895	5.7071104	5.220356	5.209486	3
0.16666669	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.0	142	0.0	0.0	0.0	1.0	0.0	0.0	0.0	"AFG"		5.6347895	0.0	3.1990898		0.0	5.220356	5.209486	4	0.0	0.0	5.590987	5.652489	5.164786		3
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.2	142	0.0	0.0	0.0	0.0	1.0	0.0	0.0	"AFG"	5.560682		0.0	3.2323127		0.0016735987	5.164786		5	0.0	0.0	5.560682	5.616771	5.123964	5.117994	3
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.2	142	0.0	0.0	0.0	0.0	0.0	1.0	0.0	"AFG"	5.549076	5.560682	0.0	3.3727834		0.0033444013	5.123964	5.117994	6	0.0	0.0	5.549076	5.589034	5.1059456	5.1059456	3
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	142	0.0	0.0	0.0	0.0	0.0	0.0	1.0	"AFG"	5.549076	5.549076	0.0	3.6041317		0.0066776546	5.1059456	5.1059456	7	0.0	0.0	5.549076		5.1059456	5.1059456	3
	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	"AGO"	5.7037826	5.7037826							1	0.0	0.0	5.7037826	5.652489	5.192957	5.192957	3
	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	"AGO"		5.7037826	0.0	1.5387038	8.112301	0.0	5.192957	5.192957	2	0.0	0.0	5.6347895	5.57973	5.117994		3
	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	"AGO"	5.57973		0.0	1.6512054	7.5564055	0.0	5.117994		3	0.0	0.0	5.5683446	5.5053315	5.049856	5.062595	3
